REG_KEY|CONTACT_ID|FIRM_NAME|OWNER_OPERATOR_NUMBER
605|1942707|PEDICRAFT, INC.|1043568
614|949960|Symbiont Logistics, LLC|1043591
618|1084035|WHIP-MIX CORP.|1043617
623|2674969|Porex Corporation|1043678
656|2401261|DEROYAL INDUSTRIES, INC.|1044833
659|2401261|DEROYAL INDUSTRIES, INC.|1044833
660|2401261|DEROYAL INDUSTRIES, INC.|1044833
667|2401261|DEROYAL INDUSTRIES, INC.|1044833
668|2401261|DEROYAL INDUSTRIES, INC.|1044833
672|2401261|DEROYAL INDUSTRIES, INC.|1044833
675|2401261|DEROYAL INDUSTRIES, INC.|1044833
685|5885101|OLSEN MEDICAL|1045163
690|1620746|KRISHNA IMPORTS, INC. DBA STEPHENS INSTRUMENTS|1045379
743|2401558|L'AMY S.A.|1049017
744|2401558|L'AMY S.A.|1049017
760|950217|EDGE BIOLOGICALS, INC.|1049818
767|2957383|U.S. GOVERNMENT DEPARTMENT HHS|1050190
768|3556888|CMP Pharma Inc.|1050589
812|2571565|TEAM TECHNOLOGIES, INC.|1051594
831|2050214|SOUTH AMERICAN DENTAL EXPORTING CORP.|1051788
833|2930575|RHEIN MEDICAL|1051791
864|2582347|MACBRUD CORP., MEDICAL DIVISION|1052243
884|950633|R82, INC.|1053060
909|2935125|S. JACKSON, INC.|1111225
925|950708|P1 TECHNOLOGIES, INC|1118193
936|2906720|BELMED, INC.|1119231
983|950761|Cypress Medical Products LLC|1120101
1153|1956651|DALE MEDICAL PRODUCTS, INC.|1214422
1167|3395483|EMD MIllipore Corporation|1216103
1177|3395483|EMD MIllipore Corporation|1216103
1182|1090505|ROGERS FOAM CORP|1216617
1184|2001744|CRISS OPTICAL MFG. CO., INC.|1216677
1195|951275|HARDWOOD PRODUCTS COMPANY LP|1216735
1197|1912806|BRYMILL CORP. DBA Brymill Cryogenic Systems|1216795
1227|2789824|Philips Medical Systems International BV|1217116
1229|2789824|Philips Medical Systems International BV|1217116
1231|2789824|Philips Medical Systems International BV|1217116
1235|2789824|Philips Medical Systems International BV|1217116
1236|2789824|Philips Medical Systems International BV|1217116
1237|2789824|Philips Medical Systems International BV|1217116
1242|2789824|Philips Medical Systems International BV|1217116
1246|2789824|Philips Medical Systems International BV|1217116
1253|2789824|Philips Medical Systems International BV|1217116
1254|2789824|Philips Medical Systems International BV|1217116
1257|2789824|Philips Medical Systems International BV|1217116
1258|2789824|Philips Medical Systems International BV|1217116
1260|2789824|Philips Medical Systems International BV|1217116
1280|2713712|ACME UNITED CORP.|1217843
1294|951359|ALIMED, INC.|1218386
1295|3105010|Candela Corporation|1218402
1332|1090609|AHLSTROM-MUNKSJO NONWOVENS LLC|1218934
1336|951443|HILCO|1218954
1340|1620232|WATERS CORPORATION|1218959
1342|1620232|WATERS CORPORATION|1218959
1345|1620232|WATERS CORPORATION|1218959
1351|4835323|MAGELLAN Diagnostics INC.|1218996
1394|1069826|CONSOLIDATED MACHINE CORP.|1219189
1439|2933182|Water-Jel Technologies, Inc|1219592
1443|1930908|KIRWAN SURGICAL PRODUCTS LLC|1219619
1468|2665177|DESIGN STANDARDS CORP.|1220100
1476|3604986|ARTHREX, INC.|1220287
1481|951730|DIELECTRICS, INC.|1220351
1503|951798|AUSTIN MEDICAL PRODUCTS, INC.|1220581
1506|2100775|HOBBS MEDICAL, INC.|1220592
1514|951822|ABIOMED, INC.|1220648
1530|3555832|Medline Industries, Inc.|1220701
1540|1912503|SANDERSON-MACLEOD, INC.|1220744
1582|1954268|World Precision Instruments, LLC|1221000
1597|951988|HEMAGEN DIAGNOSTICS, INC.|1221107
1605|2930441|Trollhatteplast AB|1221165
1606|2930441|Trollhatteplast AB|1221165
1628|952051|OFS Fitel, LLC|1221275
1652|952126|AQUA LEISURE INDUSTRIES, INC.|1221480
1661|1070560|SHAWSHEEN RUBBER CO.|1221539
1663|1933676|CONTECH MEDICAL, INC.|1221541
1665|952153|LASER PERIPHERALS LLC.|1221543
1703|1108718|ULTIMATE WIREFORMS, INC.|1221844
1721|2591943|DEPUY MITEK, A JOHNSON & JOHNSON COMPANY|1221934
1729|2958098|SOLSTICE CORPORATION|1221946
1733|1917734|DUTCH OPHTHALMIC USA, INC.|1222074
1784|2172707|Cardinal Health 200, LLC|9028292
1785|2172707|Cardinal Health 200, LLC|9028292
1788|2835217|Covidien llc|1282497
1789|2835217|Covidien llc|1282497
1790|2835217|Covidien llc|1282497
1791|2835217|Covidien llc|1282497
1793|2835217|Covidien llc|1282497
1796|2835217|Covidien llc|1282497
1798|2835217|Covidien llc|1282497
1800|2172707|Cardinal Health 200, LLC|9028292
1801|2172707|Cardinal Health 200, LLC|9028292
1802|2172707|Cardinal Health 200, LLC|9028292
1803|2172707|Cardinal Health 200, LLC|9028292
1804|2172707|Cardinal Health 200, LLC|9028292
1806|2835217|Covidien llc|1282497
1810|2172707|Cardinal Health 200, LLC|9028292
1811|2172707|Cardinal Health 200, LLC|9028292
1812|2172707|Cardinal Health 200, LLC|9028292
1814|2172707|Cardinal Health 200, LLC|9028292
1815|2172707|Cardinal Health 200, LLC|9028292
1820|2172707|Cardinal Health 200, LLC|9028292
1822|2835217|Covidien llc|1282497
1834|2172707|Cardinal Health 200, LLC|9028292
1875|952444|Boyd Technologies Inc.|1287317
1923|1931495|A. M. Bickford, Inc.|1316061
1926|1133936|Epimed International, Inc.|1316297
1963|2042776|CONMED CORPORATION|1317214
1976|1936709|Corning Incorporated|1317452
1977|1936709|Corning Incorporated|1317452
1995|1938543|MEDTEK Skin Care, Inc.|1318319
2004|952699|NUMED, INC.|1318694
2028|1932757|BIEN AIR USA, INC.|1318983
2083|2777836|ABBOTT LABORATORIES|1415939
2085|2777836|ABBOTT LABORATORIES|1415939
2087|2777836|ABBOTT LABORATORIES|1415939
2089|2777836|ABBOTT LABORATORIES|1415939
2091|2777836|ABBOTT LABORATORIES|1415939
2092|2777836|ABBOTT LABORATORIES|1415939
2149|2777836|ABBOTT LABORATORIES|1415939
2150|2777836|ABBOTT LABORATORIES|1415939
2152|2777836|ABBOTT LABORATORIES|1415939
2153|2777836|ABBOTT LABORATORIES|1415939
2159|2777836|ABBOTT LABORATORIES|1415939
2162|2777836|ABBOTT LABORATORIES|1415939
2165|2777836|ABBOTT LABORATORIES|1415939
2216|2062757|RIVERBANK LABORATORIES, INC.|1416612
2226|952917|LANG DENTAL MFG. CO., INC.|1417322
2228|4095160|AndersonBrecon Inc.|1417367
2229|4165037|BAXTER HEALTHCARE CORPORATION|1417572
2230|4165037|BAXTER HEALTHCARE CORPORATION|1417572
2231|4165037|BAXTER HEALTHCARE CORPORATION|1417572
2232|4165037|BAXTER HEALTHCARE CORPORATION|1417572
2233|4165037|BAXTER HEALTHCARE CORPORATION|1417572
2237|4165037|BAXTER HEALTHCARE CORPORATION|1417572
2238|4165037|BAXTER HEALTHCARE CORPORATION|1417572
2239|4165037|BAXTER HEALTHCARE CORPORATION|1417572
2240|4165037|BAXTER HEALTHCARE CORPORATION|1417572
2241|4165037|BAXTER HEALTHCARE CORPORATION|1417572
2242|4165037|BAXTER HEALTHCARE CORPORATION|1417572
2243|4165037|BAXTER HEALTHCARE CORPORATION|1417572
2244|4165037|BAXTER HEALTHCARE CORPORATION|1417572
2245|4165037|BAXTER HEALTHCARE CORPORATION|1417572
2272|4165037|BAXTER HEALTHCARE CORPORATION|1417572
2312|4165037|BAXTER HEALTHCARE CORPORATION|1417572
2331|4165037|BAXTER HEALTHCARE CORPORATION|1417572
2339|952925|MEDLINE INDUSTRIES, INC.|1417592
2373|952925|MEDLINE INDUSTRIES, INC.|1417592
2381|952931|FRICKE DENTAL MFG. CO.|1417846
2420|952998|TIM J. PRUSAITIS|1419247
2450|953076|LUDWIG MEDICAL, INC.|1419537
2477|953144|Frontier Global, LLC|1419759
2509|4585057|LSL INDUSTRIES, INC.|1420054
2511|1091566|RELIANCE ORTHODONTIC PRODUCTS, INC.|1420089
2528|1080502|MEDCO INSTRUMENTS, INC.|1420510
2531|2795983|MEDI-PART,INC.|1420751
2600|2057425|LINCOLN DIAGNOSTICS, INC.|1450391
2639|2927254|COSMEDENT, INC.|1450653
2680|4585900|MEDGYN PRODUCTS, INC.|1450908
2710|2075848|UHLER DENTAL SUPPLY, INC.|1460656
2712|3265095|WALGREEN CO.|1460851
2717|2805850|Hollister Incorporated|1480288
2718|2805850|Hollister Incorporated|1480288
2723|2805850|Hollister Incorporated|1480288
2724|2805850|Hollister Incorporated|1480288
2725|2805850|Hollister Incorporated|1480288
2726|2805850|Hollister Incorporated|1480288
2751|1980748|CRESCENT MFG. CO.|1520597
2758|953886|WillowWood Global LLC|1522166
2802|4185178|Invacare Corporation|1525712
2805|4185178|Invacare Corporation|1525712
2820|4185178|Invacare Corporation|1525712
2824|4185178|Invacare Corporation|1525712
2825|4185178|Invacare Corporation|1525712
2830|4185178|Invacare Corporation|1525712
2838|1951932|ASHTON PUMPMATIC, INC.|1525728
2841|2916475|ABRASIVE TECHNOLOGY, INC.|1525838
2842|2916475|ABRASIVE TECHNOLOGY, INC.|1525838
2853|1942003|HAVEL'S, INC.|1526069
2854|2917967|Albaad Fem US|1526071
2862|2591552|Luxottica North America Distribution|1526246
2868|2591552|Luxottica North America Distribution|1526246
2880|954055|SUMMIT ORTHODONTIC SERVICES, INC.|1526352
2888|3266474|DePuy Spine, Inc.|1526439
2891|954077|GRIMM SCIENTIFIC INDUSTRIES, INC.|1526475
2899|2653190|COMMAND MEDICAL PRODUCTS, INC|1526611
2900|2653190|COMMAND MEDICAL PRODUCTS, INC|1526611
2937|954156|STANDARD TEXTILE CO., INC.|1527185
2998|1632796|STERIS Corporation|1527821
2999|1632796|STERIS Corporation|1527821
3004|1632796|STERIS Corporation|1527821
3005|1632796|STERIS Corporation|1527821
3006|1632796|STERIS Corporation|1527821
3008|1632796|STERIS Corporation|1527821
3009|1632796|STERIS Corporation|1527821
3010|1632796|STERIS Corporation|1527821
3011|1632796|STERIS Corporation|1527821
3012|1632796|STERIS Corporation|1527821
3013|1632796|STERIS Corporation|1527821
3014|1632796|STERIS Corporation|1527821
3015|1632796|STERIS Corporation|1527821
3016|1632796|STERIS Corporation|1527821
3067|2929985|Alcon Laboratories, Inc.|1610287
3069|2929985|Alcon Laboratories, Inc.|1610287
3071|2929985|Alcon Laboratories, Inc.|1610287
3072|2929985|Alcon Laboratories, Inc.|1610287
3074|2929985|Alcon Laboratories, Inc.|1610287
3118|5494973|HELENA LABORATORIES, CORP.|1618982
3119|5494973|HELENA LABORATORIES, CORP.|1618982
3120|5494973|HELENA LABORATORIES, CORP.|1618982
3152|954427|STEREO OPTICAL CO., INC|1624111
3163|1903984|Millar Inc.|1625382
3195|1088732|MASTERCRAFT DENTAL CO. OF TEXAS|1625854
3269|2653570|Winfield Laboratories, Inc.|1629057
3279|1134077|INTERNATIONAL BIOMEDICAL, LTD.|1629497
3280|1134077|INTERNATIONAL BIOMEDICAL, LTD.|1629497
3356|1093045|INRO MEDICAL DESIGNS, INC.|1640867
3388|1938023|BENCHMARK ELECTRONICS, INC.|1641405
3389|1938023|BENCHMARK ELECTRONICS, INC.|1641405
3403|2124194|Mcconnell Orthopedic Mfg. Co.|1641643
3413|955001|QFC PLASTICS, INC.|1641817
3428|1908359|Duty Free Americas, Inc.|1641962
3576|955421|TRI W-G, INC.|1717548
3586|2572021|MORTAN, INC.|1718285
3611|2151887|ULTRADENT PRODUCTS, INC.|1718962
3648|2490618|IPAX, INC.|1720734
3676|955692|TRANSTRACHEAL SYSTEMS|1721097
3685|955723|Custom Manufacturing, Inc.|1721251
3716|2623801|ALPHAPROTECH, INC.|1721663
3717|2623801|ALPHAPROTECH, INC.|1721663
3765|2496918|STRYKER CORP.|1811755
3766|2496918|STRYKER CORP.|1811755
3768|2496918|STRYKER CORP.|1811755
3771|2496918|STRYKER CORP.|1811755
3772|2496918|STRYKER CORP.|1811755
3773|2496918|STRYKER CORP.|1811755
3775|2496918|STRYKER CORP.|1811755
3776|2496918|STRYKER CORP.|1811755
3779|2496918|STRYKER CORP.|1811755
3783|2496918|STRYKER CORP.|1811755
3785|2496918|STRYKER CORP.|1811755
3787|2496918|STRYKER CORP.|1811755
3788|2496918|STRYKER CORP.|1811755
3791|2496918|STRYKER CORP.|1811755
3806|1923118|LAFAYETTE INSTRUMENT CO., INC.|1816267
3812|3247123|DePuy Synthes, Inc.|1818910
3813|3247123|DePuy Synthes, Inc.|1818910
3815|3247123|DePuy Synthes, Inc.|1818910
3823|3247123|DePuy Synthes, Inc.|1818910
3825|3247123|DePuy Synthes, Inc.|1818910
3827|3247123|DePuy Synthes, Inc.|1818910
3833|3247123|DePuy Synthes, Inc.|1818910
3841|1116093|Century Pharmaceuticals, Inc.|1819174
3848|955911|VISION TRAINING PRODUCTS, INC.|1820463
3866|1917687|ZIMMER, INC.|1822565
3867|1917687|ZIMMER, INC.|1822565
3870|1917687|ZIMMER, INC.|1822565
3881|1917687|ZIMMER, INC.|1822565
3882|1917687|ZIMMER, INC.|1822565
3898|1933234|LifeSafe Services|1823393
3908|2754059|HILL-ROM, INC.|1824206
3910|2754059|HILL-ROM, INC.|1824206
3946|2916201|Biomet, Inc.|1825034
3957|1122537|FREDRICKS/PLASTEEL CORP.|1825309
3960|1632378|CHEMATICS, INC.|1825396
3964|2956293|ENOCHS MFG., INC.|1825436
3966|2965024|SURGICAL TECHNOLOGY LABORATORIES INC.|1825527
3987|2825394|NUELL, INC.|1827813
3994|956115|TERUMO CARDIOVASCULAR SYSTEMS CORP.|1828100
3995|956115|TERUMO CARDIOVASCULAR SYSTEMS CORP.|1828100
4002|2084090|Tecomet|1828464
4003|2084090|Tecomet|1828464
4006|2084090|Tecomet|1828464
4007|2084090|Tecomet|1828464
4008|2084090|Tecomet|1828464
4026|2081615|SEE, INC.|1831039
4039|956215|APPLIED LABORATORIES, INC.|1831301
4061|3265135|SAMMANN COMPANY, Inc.|1831687
4099|2075460|Battle Creek Equipment Co.|1832415
4168|1972689|G&H Wire Company|1833132
4218|956548|SCOTT SPECIALTIES, INC.|1917910
4219|956548|SCOTT SPECIALTIES, INC.|1917910
4239|1086427|BACK-MUELLER, INC. SURGICAL INSTR.|1923491
4303|1085850|BARNHART INDUSTRIES, INC.|1925204
4366|2532445|Seiler Instrument & Mfg. Co., Inc.|1927430
4374|1134696|MIDWEST STERILIZATION CORP.|1928237
4393|3236009|STANLEY SECURITY SOLUTIONS, INC.|1929691
4421|2776169|MARKETING INTL., INC.|1930715
4437|1087200|MYRON'S DENTAL LABORATORIES, INC.|1931030
4441|2581592|LB&T OPTICAL, LLC|1931096
4458|2795749|RAYE'S, inc dba Sizewise Manufacturing|1931307
4481|956949|TRADEMARK MEDICAL, LLC|1937137
4483|1933705|The Metrix Company|1937141
4502|2130801|Essex Industries, Inc|1937613
4503|2130801|Essex Industries, Inc|1937613
4531|957076|STRECK|1950302
4538|957091|ALLERGAN, INC.|2011068
4542|957091|ALLERGAN, INC.|2011068
4543|957091|ALLERGAN, INC.|2011068
4559|1095191|MEDICAL CHEMICAL CORPORATION|2013736
4570|3245209|BELPORT CO., INC.|2014676
4577|957131|FRANK STUBBS CO., INC|2014871
4595|2083760|Biomerica, Inc.|2016793
4640|2780205|ADVANCED VISION SCIENCE, INC.|2020277
4652|2825572|VME ACQUISITION CORP.|2020352
4653|1944616|LASCO DIAMOND PRODUCTS, INC.|2020356
4654|2763522|TIDI PRODUCTS, LLC|2020362
4663|2075747|BEST INVESTMENT CO., INC.|2020401
4671|2633605|NATIONAL CABLE MOLDING|2020439
4697|957358|ISOTOPE PRODUCTS LABORATORIES|2020604
4798|4694994|CARDIAC SCIENCE CORPORATION|2022312
4827|2063309|BIO-CONCEPTS, INC.|2022548
4830|1125295|Avanos Medical, Inc.|2022573
4844|1095113|ALPHA-OMEGA SERVICES|2022694
4856|2055771|SPACELABS HEALTHCARE, INC.|2022906
4895|957787|FACTOR, II, INC.|2023623
4898|1469449|MICROCOPY, DIV. NEO-FLO, INC.|2023633
4915|2014202|STAAR SURGICAL Company|2023826
4916|2014202|STAAR SURGICAL Company|2023826
4963|1670021|PARTER STERILIZATION SERVICES / PARTER MEDICAL PRODUCTS|2024311
4995|958002|Quidel Corp.|2024674
5009|1098665|PASSY-MUIR, INC.|2024841
5015|1092587|DENTAMERICA|2024949
5036|2845579|SPECTRUM LABORATORIES, INC.|2025136
5046|4755190|Onyx Industries, Inc.|2025291
5051|958118|ORTHOSOURCE|2025383
5093|2121502|ICU MEDICAL, INC.|2025816
5094|2121502|ICU MEDICAL, INC.|2025816
5095|2121502|ICU MEDICAL, INC.|2025816
5174|1070791|ACI MEDICAL, LLC|2027046
5178|2073600|APPLIED MEDICAL RESOURCES|2027111
5211|958514|THE ANDWIN CORP.|2027344
5214|2520961|DENT ZAR, INC.|2027375
5257|2931264|BECKMAN COULTER, INC.|2050012
5259|2931264|BECKMAN COULTER, INC.|2050012
5261|2931264|BECKMAN COULTER, INC.|2050012
5265|2931264|BECKMAN COULTER, INC.|2050012
5267|2931264|BECKMAN COULTER, INC.|2050012
5269|2931264|BECKMAN COULTER, INC.|2050012
5270|2931264|BECKMAN COULTER, INC.|2050012
5271|2931264|BECKMAN COULTER, INC.|2050012
5284|1981420|E.A. BECK & CO.|2080222
5312|2057280|Jobar International, Inc.|2081036
5327|1604867|PRO-DEX, INC.|2081135
5364|2663126|ORTHO ORGANIZERS , INC.|2081322
5420|959017|VORTRAN MEDICAL TECHNOLOGY 1, INC.|2082582
5438|2584916|CONTINENTAL DENTAL CERAMICS, INC.|2082675
5510|2062117|CLINIQA CORPORATION|2083131
5694|2460739|3M COMPANY|2110898
5700|2460739|3M COMPANY|2110898
5701|2460739|3M COMPANY|2110898
5704|2460739|3M COMPANY|2110898
5707|2460739|3M COMPANY|2110898
5710|2460739|3M COMPANY|2110898
5711|2460739|3M COMPANY|2110898
5715|2460739|3M COMPANY|2110898
5716|2460739|3M COMPANY|2110898
5724|2460739|3M COMPANY|2110898
5728|2460739|3M COMPANY|2110898
5730|2460739|3M COMPANY|2110898
5731|2460739|3M COMPANY|2110898
5747|2460739|3M COMPANY|2110898
5748|2460739|3M COMPANY|2110898
5749|2460739|3M COMPANY|2110898
5750|2460739|3M COMPANY|2110898
5759|4765052|MEDTRONIC INC.|2112641
5760|4765052|MEDTRONIC INC.|2112641
5761|4765052|MEDTRONIC INC.|2112641
5762|4765052|MEDTRONIC INC.|2112641
5763|4765052|MEDTRONIC INC.|2112641
5787|4765052|MEDTRONIC INC.|2112641
5790|4765052|MEDTRONIC INC.|2112641
5791|4765052|MEDTRONIC INC.|2112641
5792|4765052|MEDTRONIC INC.|2112641
5793|4765052|MEDTRONIC INC.|2112641
5800|4765052|MEDTRONIC INC.|2112641
5801|4765052|MEDTRONIC INC.|2112641
5804|4765052|MEDTRONIC INC.|2112641
5805|4765052|MEDTRONIC INC.|2112641
5806|4765052|MEDTRONIC INC.|2112641
5807|4765052|MEDTRONIC INC.|2112641
5808|4765052|MEDTRONIC INC.|2112641
5809|4765052|MEDTRONIC INC.|2112641
5810|4765052|MEDTRONIC INC.|2112641
5811|4765052|MEDTRONIC INC.|2112641
5814|4765052|MEDTRONIC INC.|2112641
5815|4765052|MEDTRONIC INC.|2112641
5819|4765052|MEDTRONIC INC.|2112641
5821|4765052|MEDTRONIC INC.|2112641
5823|4765052|MEDTRONIC INC.|2112641
5824|4765052|MEDTRONIC INC.|2112641
5825|4765052|MEDTRONIC INC.|2112641
5833|2806702|WR MEDICAL ELECTRONICS CO.|2118418
5845|1955602|WISCONSIN PHARMACAL CO., LLC|2124143
5849|2019061|DON EVANS, INC.|2124274
5885|1086716|Walman Optical|2125182
5899|1108892|Starkey Laboratories, Inc.|2125608
5909|1108892|Starkey Laboratories, Inc.|2125608
5910|1108892|Starkey Laboratories, Inc.|2125608
5927|2777836|ABBOTT LABORATORIES|1415939
5931|2777836|ABBOTT LABORATORIES|1415939
5934|2777836|ABBOTT LABORATORIES|1415939
5935|2777836|ABBOTT LABORATORIES|1415939
5938|2777836|ABBOTT LABORATORIES|1415939
5939|2777836|ABBOTT LABORATORIES|1415939
5946|2084262|AMERICAN ORTHODONTICS|2126683
5958|2072400|Sanmina|2129538
5960|2072400|Sanmina|2129538
5962|2072400|Sanmina|2129538
5971|4585737|MEDIVATORS|2150060
5973|1946117|MICROBIOLOGICS, INC.|2150138
5982|2582000|GN Hearing A/S|2182204
5984|2582000|GN Hearing A/S|2182204
5986|2582000|GN Hearing A/S|2182204
5999|1604818|LITTLE RAPIDS CORP.|2182303
6006|4915089|Dynatronics Corp.|2182345
6019|2907432|The Brewer Company LLC|2182536
6043|2885911|THERMO FISHER SCIENTIFIC INC.|2182773
6045|2885911|THERMO FISHER SCIENTIFIC INC.|2182773
6047|2885911|THERMO FISHER SCIENTIFIC INC.|2182773
6049|2885911|THERMO FISHER SCIENTIFIC INC.|2182773
6050|2885911|THERMO FISHER SCIENTIFIC INC.|2182773
6052|2885911|THERMO FISHER SCIENTIFIC INC.|2182773
6059|5504969|MicroPort CRM USA, Inc.|2182863
6084|2930264|FOX CONVERTING, INC.|2183287
6094|1070698|APOTHECARY PRODUCTS, LLC|2183416
6100|2061334|DIVERSATEK HEALTHCARE INC|2183446
6102|1941585|AD-TECH MEDICAL INSTRUMENT CORP.|2183456
6106|2084487|SEAVER CO.|2183470
6123|960114|MCLEAN MEDICAL & SCIENTIFIC|2183570
6124|1610120|COMFORTEX|2183571
6127|1941546|SMI DIV. OF SOHN MFG., INC.|2183576
6151|1972106|LIFECORE BIOMEDICAL, LLC|2183682
6164|960242|GENESIS INDUSTRIES, INC.|2183741
6165|960242|GENESIS INDUSTRIES, INC.|2183741
6174|960267|ULTI MED, INC.|2183771
6189|2697574|Phillips-Medisize, LLC|2183833
6190|2697574|Phillips-Medisize, LLC|2183833
6202|2055763|EZ WAY, INC.|2183887
6234|4585959|CHURCH & DWIGHT CO., INC.|2210299
6235|4585959|CHURCH & DWIGHT CO., INC.|2210299
6246|4785018|ETHICON INC.|2210968
6247|4785018|ETHICON INC.|2210968
6248|4785018|ETHICON INC.|2210968
6249|4785018|ETHICON INC.|2210968
6252|4785018|ETHICON INC.|2210968
6288|2646061|C. R. Bard, Inc.|2212754
6298|2837084|Johnson & Johnson Consumer Inc.|2214133
6301|2837084|Johnson & Johnson Consumer Inc.|2214133
6324|3175718|Datascope Corp.|2221819
6328|3175718|Datascope Corp.|2221819
6335|960433|ACORN ENGINEERING CO.|2222003
6361|960491|Konica Minolta Healthcare Americas, Inc.|2241281
6378|960511|SAFILO USA|2241997
6379|960511|SAFILO USA|2241997
6380|1116283|ALTO DEVELOPMENT CORP.|2242056
6388|960530|ZEUS SCIENTIFIC, INC.|2242436
6477|2957295|VYNACRON DENTAL RESINS, INC.|2242866
6483|1131833|PAUSCH LLC|2243057
6544|1093014|M & Q PLASTIC LLC|2244020
6556|1121105|MCI Optonix LLC|2244584
6563|1911366|PERMA PURE LLC|2244684
6571|2100757|DMG America, L.L.C.|2244812
6594|961917|DRG International, Inc.|2245285
6595|961917|DRG International, Inc.|2245285
6703|962218|PRINCETON BIOMEDITECH CORP.|2246703
6751|2703426|ORTHO-CLINICAL DIAGNOSTICS, INC.|2250051
6773|1945262|WALMART STORES|2316750
6805|962455|LUV N' CARE, LTD.|2381321
6810|2018216|Pall Corporation|2410597
6812|2018216|Pall Corporation|2410597
6813|2018216|Pall Corporation|2410597
6827|2915692|Professional Disposables International, Inc.|2411192
6839|2723420|Bracco Diagnostics Inc.|2411512
6845|2083038|COMBE INCORPORATED|2412672
6846|2083038|COMBE INCORPORATED|2412672
6848|5865075|Cadence Science Inc.|2414164
6853|2785824|TORBOT GROUP, INC.|2417346
6854|2785824|TORBOT GROUP, INC.|2417346
6856|962526|ROBERT BUSSE & CO., INC.|2417536
6861|962532|HY-TAPE INTERNATIONAL, INC.|2417991
6865|3556411|COLGATE-PALMOLIVE CO.|2418748
6867|3556411|COLGATE-PALMOLIVE CO.|2418748
6872|3556411|COLGATE-PALMOLIVE CO.|2418748
6873|3556411|COLGATE-PALMOLIVE CO.|2418748
6887|1941757|ANDERSEN PRODUCTS, INC.|2424048
6924|1932820|Ever Ready First Aid|2427500
6929|962616|S&S X-Ray Products, Inc (dba Talon)|2427635
6939|2015617|DUERR DENTAL SE|2428225
6958|2592001|GF Health Products, Inc.|2428983
6959|2592001|GF Health Products, Inc.|2428983
6961|2592001|GF Health Products, Inc.|2428983
6964|2592001|GF Health Products, Inc.|2428983
7005|2583947|WIDEX USA., INC.|2430101
7008|962718|ROZIN OPTICAL INTERNATIONAL, LLC|2430132
7020|962769|Carl Zeiss Inc.|2431026
7021|962769|Carl Zeiss Inc.|2431026
7055|962852|Mirion Technologies, Inc.|2431314
7080|2073884|BAR-RAY PRODUCTS, INC.|2431606
7136|2695033|WALTER STERN, INC.|2432350
7173|1913746|SILIPOS Holding LLC|2432963
7181|963257|FINE SURGICAL, INC.|2433092
7190|963294|NOVELTIES BY NASSWALK|2433231
7202|1096153|EASTERN STATES EYEWEAR, INC.|2433502
7220|963364|BRITALIA OPTICAL INTL.|2433624
7243|1119194|CROSSTEX INTERNATIONAL, INC.|2433773
7244|1119194|CROSSTEX INTERNATIONAL, INC.|2433773
7245|1119194|CROSSTEX INTERNATIONAL, INC.|2433773
7246|1119194|CROSSTEX INTERNATIONAL, INC.|2433773
7257|2182429|PROFESSIONAL SURGICAL INSTRUMENTS CO., INC.|2433825
7291|1902922|RICHEMONT NORTH AMERICA, INC.|2434074
7403|963850|MORGENTHAL FREDERICS OPTICIANS INC.|2434886
