0	1	2	3	4	5	6
ASTM	F813-07 (Reapproved 2012)	2-119	Standard Practice for Direct Contact Cell Culture Evaluation of Materials for Medical Devices	2016-07-26	Biocompatibility	
ASTM	F750-20	2-279	Standard Practice for Evaluating Acute Systemic Toxicity of Material Extracts by Systemic Injection in the Mouse	2020-12-21	Biocompatibility	
ASTM	F749-20	2-274	Standard Practice for Evaluating Material Extracts by Intracutaneous Injection in the Rabbit	2020-07-06	Biocompatibility	
ASTM	F749-13	2-197	Standard Practice for Evaluating Material Extracts by Intracutaneous Injection in the Rabbit	2016-07-26	Biocompatibility	
ASTM	F750-87 (Reapproved 2012)	2-124	Standard Practice for Evaluating Material Extracts by Systemic Injection in the Mouse	2016-07-26	Biocompatibility	
ASTM	F2148-18	2-264	Standard Practice for Evaluation of Delayed Contact Hypersensitivity Using the Murine Local Lymph Node Assay (LLNA).	2019-07-15	Biocompatibility	
ASTM	F619-20	2-283	Standard Practice for Extraction of Materials Used in Medical Devices	2020-12-21	Biocompatibility	
ASTM	F619-14	2-214	Standard Practice for Extraction of Medical Plastics	2016-07-26	Biocompatibility	
ASTM	F2147-01 (Reapproved 2016)	2-155	Standard Practice for Guinea Pig: Split Adjuvant and Closed Patch Testing for Contact Allergens	2017-08-21	Biocompatibility	
ASTM	F2888-19	2-267	Standard Practice for Platelet Leukocyte Count - An In-Vitro Measure for Hemocompatibility Assessment of Cardiovascular Materials.	2019-07-15	Biocompatibility	
ASTM	F748-16	2-244	Standard Practice for Selecting Generic Biological Test Methods for Materials and Devices	2016-12-23	Biocompatibility	
ASTM	F763-04 (Reapproved 2016)	2-93	Standard Practice for Short-Term Screening of Implant Materials	2016-12-23	Biocompatibility	
ASTM	F1408-20a	2-280	Standard Practice for Subcutaneous Screening Test for Implant Materials	2020-12-21	Biocompatibility	
ASTM	F1408-97 (Reapproved 2013)	2-133	Standard Practice for Subcutaneous Screening Test for Implant Materials	2016-07-26	Biocompatibility	
ASTM	F719-81 (Reapproved 2012)	2-122	Standard Practice for Testing Biomaterials in Rabbits for Primary Skin Irritation	2016-07-26	Biocompatibility	
ASTM	F1903-18	2-263	Standard Practice for Testing for Cellular Responses to Particles in vitro	2019-07-15	Biocompatibility	
ASTM	F1984-99 (Reapproved 2018)	2-141	Standard Practice for Testing for Whole Complement Activation in Serum by Solid Materials	2019-01-14	Biocompatibility	
ASTM	F720-17	2-256	Standard Practice for Testing Guinea Pigs for Contact Allergens: Guinea Pig Maximization Test	2018-09-17	Biocompatibility	
ASTM	F719-20 e1	2-278	Standard Practice for Testing Materials in Rabbits for Primary Skin Irritation	2020-12-21	Biocompatibility	
ASTM	F1904-14	2-213	Standard Practice for Testing the Biological Responses to Particles In Vivo	2016-07-26	Biocompatibility	
ASTM	F895-11 (Reapproved 2016)	2-189	Standard Test Method for Agar Diffusion Cell Culture Screening for Cytotoxicity	2016-12-23	Biocompatibility	
ASTM	F2382-18	2-266	Standard Test Method for Assessment of Circulating Blood-Contacting Medical Device Materials on Partial Thromboplastin Time (PTT)	2019-07-15	Biocompatibility
ISO	14117 Second edition 2019-09	3-161	Active implantable medical devices - Electromagnetic compatibility - EMC test protocols for implantable cardiac pacemakers implantable cardioverter defibrillators and cardiac resynchronization devices.	2019-12-23	Cardiovascular	
ISO	27186 First edition 2010-03-15	3-89	Active implantable medical devices - Four-pole connector system for implantable cardiac rhythm management devices - Dimensional and test requirements	2013-01-25	Cardiovascular	
ANSI AAMI	BP22:1994 (R2016)	3-44	Blood pressure transducers	2019-01-14	Cardiovascular	
ISO	11318:2002	3-63	Cardiac Defibrillators -- Connector assembly DF-1 for implantable defibrillators - Dimensions and test requirements.	2014-01-30	Cardiovascular	
ISO	27185 First edition 2012-02-15	3-132	Cardiac Rhythm Management Devices - Symbols to be Used With Cardiac Rhythm Management Device Labels and Information to be Supplied - General Requirements	2016-06-15	Cardiovascular	
ISO	5840-2:2015 First Edition	3-147	Cardiovascular implants - Cardiac valve prostheses - Part 2: Surgically implanted heart valve substitutes	2016-12-23	Cardiovascular	
ISO	5840-1 First edition 2015-09-15	3-145	Cardiovascular implants - Cardiac valve prostheses - Part 1: General requirements	2016-12-23	Cardiovascular	
ISO	5840-3 First edition 2013-03-01	3-133	Cardiovascular implants - Cardiac valve prostheses - Part 3: Heart valve substitutes implanted by transcatheter techniques	2016-04-04	Cardiovascular	
ANSI AAMI ISO	25539-1: 2017	3-157	Cardiovascular implants - Endovascular devices - Part 1: Endovascular prostheses	2019-01-14	Cardiovascular	
ISO	25539-1 Second edition 2017-02	3-149	Cardiovascular implants - Endovascular devices - Part 1: Endovascular prostheses	2017-08-21	Cardiovascular	
ISO	25539-2 Second edition 2012-12-01	3-116	Cardiovascular implants - Endovascular devices - Part 2: Vascular stents	2013-08-06	Cardiovascular	
ISO	25539-3 First edition 2011-12-01	3-103	Cardiovascular implants - Endovascular devices - Part 3: Vena cava filters	2012-08-20	Cardiovascular	
ISO	7199 Third edition 2016-11-15	3-150	Cardiovascular implants and artificial organs - Blood-gas exchangers (oxygenators).	2018-06-07	Cardiovascular	
ISO	5910 First edition 2018-06	3-159	Cardiovascular implants and extracorporeal systems - Cardiac valve repair devices	2019-01-14	Cardiovascular	
ISO	/TS 17137 First edition 2014-05-15	3-142	Cardiovascular implants and extracorporeal systems - Cardiovascular absorbable implants.	2019-01-14	Cardiovascular	
ISO	18242 First edition 2016-09-01	3-163	Cardiovascular implants and extracorporeal systems - Centrifugal blood pumps.	2019-12-23	Cardiovascular	
ISO	12417 First edition 2015-10-01	3-143	Cardiovascular implants and extracorporeal systems - Vascular device-drug combination products	2016-06-27	Cardiovascular	
ISO	7198 Second edition 2016-08-01	3-144	Cardiovascular implants and extracorporeal systems - Vascular prostheses - Tubular vascular grafts and vascular patches	2016-12-23	Cardiovascular	
ANSI AAMI ISO	7198:2016 Second edition	3-54	Cardiovascular implants and extracorporeal systems--Vascular prostheses--Tubular vascular grafts and vascular patches	2014-01-30	Cardiovascular	
ANSI AAMI	EC12:2000/(R)2015	3-52	Disposable ECG electrodes	2019-01-14	Cardiovascular	
ANSI AAMI	EC53:2013	3-129	ECG trunk cables and patient leadwires	2014-07-09	Cardiovascular	
AAMI	TIR 42:2010	3-99	Evaluation of Particulates Associated with Vascular Medical Devices	2018-10-22	Cardiovascular	
ISO	14708-5 First edition 2010-02-01	3-92	Implants for surgery - Active implantable medical devices - Part 5: Circulatory support devices	2014-01-30	Cardiovascular	
ISO	5841-3 Third edition 2013-04-15	3-125	Implants for surgery - Cardiac pacemakers - Part 3: Low-profile connectors [IS-I] for implantable pacemakers	2016-04-04	Cardiovascular	
ISO	14708-1 Second edition 2014-08-15	3-156	Implants for surgery -- Active implantable medical devices -- Part 1: General requirements for safety marking and for information to be provided by the manufacturer	2018-09-17	Cardiovascular	
IEC	60601-2-25 Edition 2.0 2011-10	3-105	Medical electrical equipment - Part 2-25: Particular requirements for the basic safety and essential performance of electrocardiographs	2013-01-25	Cardiovascular	
IEC	60601-2-27 Edition 3.0 2011-03	3-126	Medical electrical equipment - Part 2-27: Particular requirements for the basic safety and essential performance of electrocardiographic monitoring equipment [Including: Corrigendum 1 (2012)]	2019-01-14	Cardiovascular	
IEC	80601-2-30 Edition 1.1 2013-07	3-152	Medical electrical equipment - Part 2-30: Particular requirements for the basic safety and essential performance of automated non-invasive sphygmomanometers	2020-07-06	Cardiovascular	
IEC	80601-2-30: Edition 2.0 2018-03	3-123	Medical electrical equipment - Part 2-30: Particular requirements for the basic safety and essential performance of automated non-invasive sphygmomanometers	2020-07-06	Cardiovascular	
IEC	60601-2-34 Edition 3.0 2011-05	3-115	Medical electrical equipment - Part 2-34: Particular requirements for the basic safety including essential performance of invasive blood pressure monitoring equipment	2013-08-06	Cardiovascular	
IEC	60601-2-4 Edition 3.1 2018-02 CONSOLIDATED VERSION	3-169	Medical electrical equipment - Part 2-4: Particular requirements for the basic safety and essential performance of cardiac defibrillators	2020-12-21	Cardiovascular	
IEC	60601-2-47 Edition 2.0 2012-02	3-155	Medical electrical equipment - Part 2-47: Particular requirements for the basic safety and essential performanceof ambulatory electrocardiographic systems	2020-07-06	Cardiovascular	
IEC	60601-2-31 Edition 2.1 2011-09	3-102	Medical electrical equipment Part 2-31: Particular requirements for the basic safety and essential performance of external cardiac pacemakers with internal power source	2012-08-20	Cardiovascular	
ISO	81060-1 First edition 2007-12-01	3-96	Non-invasive sphygmomanometers - Part 1: Requirements and test methods for non-automated measurement type	2012-03-16	Cardiovascular	
ISO	81060-2 Third edition 2018-11	3-160	Non-invasive sphygmomanometers - Part 2: Clinical investigation of intermittent automated measurement type	2020-07-06	Cardiovascular	
ISO	81060-2 Third edition 2018-11	3-166	Non-invasive sphygmomanometers - Part 2: Clinical investigation of intermittent automated measurement type [including: Amendment 1 (2020)]	2020-07-06	Cardiovascular	
ISO	/TS 81060-5 First edition 2020-02	3-167	Non-invasive sphygmomanometers - Part 5: Requirements for the repeatability and reproducibility of NIBP simulators for testing of automated non-invasive sphygmomanometers	2020-07-06	Cardiovascular	
IEEE	Std 1708-2014	3-168	Standard for Wearable Cuffless Blood Pressure Measuring Devices [including: Amendment 1 (2019)]	2020-07-06	Cardiovascular	
ASTM	F3374-19	3-162	Standard Guide for Active Fixation Durability of Endovascular Prostheses	2019-12-23	Cardiovascular	
ASTM	F2081-06 (Reapproved 2017)	3-66	Standard Guide for Characterization and Presentation of the Dimensional Attributes of Vascular Stents	2019-01-14	Cardiovascular	
ASTM	F2743-11	3-153	Standard Guide for Coating Inspection and Acute Particulate Characterization of Coated Drug-Eluting Vascular Stent Systems	2018-09-17	Cardiovascular	
ASTM	F3211-17	3-154	Standard Guide for Fatigue-to-Fracture (FtF) Methodology for Cardiovascular Medical Devices	2018-09-17	Cardiovascular	
ASTM	F2514-08 (Reapproved 2014)	3-88	Standard Guide for Finite Element Analysis (FEA) of Metallic Vascular Stents Subjected to Uniform Radial	2015-01-27	Cardiovascular	
ASTM	F2914-12	3-104	Standard Guide for Identification of Shelf-life Test Attributes for Endovascular Devices	2012-08-20	Cardiovascular	
ASTM	F2394-07 (Reapproved 2017)	3-86	Standard Guide for Measuring Securement of Balloon Expandable Vascular Stent Mounted on Delivery System	2019-01-14	Cardiovascular	
ASTM	F3036-13	3-137	Standard Guide for Testing Absorbable Stents	2019-07-15	Cardiovascular	
ASTM	F2942-13	3-138	Standard Guide for the In Vitro Axial Bending and Rotational Durability Test of Vascular Stents	2019-01-14	Cardiovascular	
ASTM	F3320-18	3-158	Standard Guide forCoating Characterization of Drug Coated Balloons	2019-01-14	Cardiovascular	
ASTM	F1841-19	3-165	Standard Practice for Assessment of Hemolysis in Continuous Flow Blood Pumps	2020-07-06	Cardiovascular	
ASTM	F1841-97 (Reapproved 2017)	3-56	Standard Practice for Assessment of Hemolysis in Continuous Flow Blood Pumps egg	2019-01-14	Cardiovascular	
ASTM	F1830-19	3-164	Standard Practice for Collection and Preparation of Blood for Dynamic In Vitro Evaluation of Blood Pumps	2020-07-06	Cardiovascular	
ASTM	F1830-97 (Reapproved 2017)	3-55	Standard Practice for Selection of Blood for In Vitro Evaluation of Blood Pumps	2019-01-14	Cardiovascular	
ASTM	F2079-09 (Reapproved 2017)	3-79	Standard Test Method for Measuring Intrinsic Elastic Recoil of Balloon-Expandable Stents	2019-01-14	Cardiovascular	
ASTM	F2477-07 (Reapproved 2013)	3-87	Standard Test Methods for in vitro Pulsatile Durability	2013-08-06	Cardiovascular	
AAMI	TIR 41:2011/(R)2017	3-110	Technical Information Report Active implantable medical devices - Guidance for designation of left ventricle and implantable cardioverter defibrillator lead connectors and pulse generator connector cavities for implantable pacemakers and implantable cardioverter defibrillators	2018-09-17	Cardiovascular	
ANSI AAMI	EC57:2012	3-118	Testing and reporting performance results of cardiac rhythm and ST-segment measurement algorithms	2014-01-30	Cardiovascular
ANSI ASA	S3.20-2015 (Revision of ANSI S3.20-1995)	4-228	American National Standard Bioacoustical Terminology	2016-06-27	Dental/ENT	
ANSI ASA	S12.2-2019	4-260	American National Standard Criteria for Evaluating Room Noise	2019-12-23	Dental/ENT	
ANSI	S3.44-1996 (Reaffirmed 2006)	4-173	American National Standard Determination of Occupational Noise Exposure and Estimation of Noise-Induced Hearing Impairment	2012-03-16	Dental/ENT	
ANSI ASA	S3.25-2009 (Reaffirmed 2014)	4-184	American National Standard For an Occluded Ear Simulator	2015-08-14	Dental/ENT	
ANSI ASA	S12.65-2006 (Reaffirmed 2011)	4-177	American National Standard For Rating Noise with Respect to Speech Interference	2014-07-09	Dental/ENT	
ANSI	S3.1 (Reaffirmed 2013)	4-160	American National Standard Maximum Permissible Ambient Noise Levels for Audiometric Test Rooms	2014-07-09	Dental/ENT	
ANSI	S3.13-1987 (Reaffirmed 2012)	4-165	American National Standard Mechanical Coupler for Measurement of Bone Vibrators	2014-07-09	Dental/ENT	
ANSI	S3.7-1995 (Reaffirmed 2008)	4-164	American National Standard Method for Coupler Calibration of Earphones	2012-03-16	Dental/ENT	
ANSI	S3.2-2009 (Reaffirmed 2014)	4-183	American National Standard Method for Measuring the Intelligibility of Speech over Communication Systems	2015-01-27	Dental/ENT	
ANSI ASA	S3.35-2010 (Reaffirmed 2015)	4-190	American National Standard Method of Measurement of Performance Characteristics of Hearing Aids under Simulated Real-Ear Working Conditions	2016-04-04	Dental/ENT	
ANSI	S3.5-1997 (Reaffirmed 2017)	4-163	American National Standard Methods for Calculation of the Speech Intelligibility Index	2019-01-14	Dental/ENT	
