Standard Designation Number/Date,Title of Standard,Specialty Task Group,Date of Recogntion,Standard Developing Organization,Recognition Number
12865 Second edition 2006-07-01,Ophthalmic instruments - Retinoscopes,Ophthalmic,12/19/2007,ISO," "10-39
14880-2:2006,Optics and photonics -- Microlens arrays -- Part 2: Test methods for wavefront aberrations,Radiology,12/19/2007,ISO," "12-171
14880-3:2006,Optics and photonics -- Microlens arrays -- Part 3: Test methods for optical properties other than wavefront aberrations,Radiology,12/19/2007,ISO," "12-172
14880-4:2006,Optics and photonics -- Microlens arrays -- Part 4: Test methods for geometrical properties,Radiology,12/19/2007,ISO," "12-173
61223-3-2 Second eidtion 2007-07,Evaluation and routine testing in medical imaging departments - Part 3-2: Acceptance tests - Imaging performance of mammographic X-ray equipment,Radiology,12/19/2007,IEC," "12-176
6874 Third edition 2015-09-01,Dentistry - Polymer-based pit and fissure sealants,Dental/ENT,04/04/2016,ISO," "4-222
22803 First edition 2004-09-01,Dentistry - Membrane materials for guided tissue regeneration in oral and maxillofacial surgery - Contents of a technical file,Dental/ENT,09/09/2008,ISO," "4-145
I/LA18-A2 (Replaces I/LA18-A),Specifications for Immunological Testing for Infectious Diseases; Approved Guideline - Second Edition. ,InVitro Diagnostics,09/09/2008,CLSI," "7-131
C42-A,Erythrocyte Protoporphyrin Testing; Approved Guideline,InVitro Diagnostics,09/09/2008,CLSI," "7-21
H44-A2 (Replaces H44-A),Methods for Reticulocyte Counting (Automated Blood Cell Counters Flow Cytometry and Supravital Dyes); Approved Guideline - Second Edition,InVitro Diagnostics,09/09/2008,CLSI," "7-135
I/LA2-A2 (Replaces I/LA2-A),Quality Assurance of Laboratory Tests for Autoantibodies to Nuclear Antigens: (1) Indirect Flurescence Assay for Microscopy and (2) Microtiter Enzyme Immunoassay Methods; Approved Guideline - Second Edition.,InVitro Diagnostics,09/09/2008,CLSI," "7-136
H21-A5,Collection Transport and Processing of Blood Specimens for Testing Plasma-Based Coagulation Assays and Molecular Hemostasis Assays,InVitro Diagnostics,09/09/2008,CLSI," "7-159
H56-A (Replaces H56-P),Body Fluid Analysis for Cellular Composition; Approved Guideline.,InVitro Diagnostics,09/09/2008,CLSI," "7-163
5832-6:1997,Implants for surgery -- Metallic materials -- Part 6: Wrought cobalt-nickel-chromium-molybdenum alloy,Materials,09/09/2008,ISO," "8-61
61846 First edition 1998-04,Ultrasonics - Pressure pulse lithotripters - Characteristics of fields,ObGyn/Gastroenterology/Urology,09/09/2008,IEC," "9-7
XR 22-2006 (R2020),"Quality Control Manual" Template for Manufacturers of Displays and Workstations Labeled for Final Interpretation in Full-field Digital Mammography,Radiology,09/09/2008,NEMA," "12-165
XR 23-2006 (R2020),"Quality Control Manual" Template for Manufacturers of Hardcopy Output Devices Labeled for Final Interpretation in Full-field Digital Mammography,Radiology,09/09/2008,NEMA," "12-166
AUTO2-A2,Laboratory Automation:  Bar Codes for Specimen Container Identification,Software/Informatics,09/09/2008,CLSI," "13-9
AUTO1-A,Laboratory Automation:  Specimen Container/Specimen Carrier; Approved Standard,Software/Informatics,09/09/2008,CLSI," "13-10
AUTO4-A,Laboratory Automation: Systems Operational Requirements Characteristics and Information Elements; Approved Standard,Software/Informatics,09/09/2008,CLSI," "13-12
AUTO5-A,Laboratory Automation: Electromechanical Interfaces; Approved Standard,Software/Informatics,09/09/2008,CLSI," "13-13
POCT1-A2,Point-of-Care Connectivity,Software/Informatics,09/09/2008,CLSI," "13-14
LIS02-A2,Standard Specification for Transferring Information Between Clinical Instruments and Computer Systems; Approved Standard-Second Edition,Software/Informatics,09/09/2008,CLSI," "13-17
LIS03-A,Standard Guide for Selection of a Clinical Laboratory Information Management System,Software/Informatics,09/09/2008,CLSI," "13-18
LIS04-A,Standard Guide for Documentation of Clinical Laboratory Computer Systems,Software/Informatics,09/09/2008,CLSI," "13-19
LIS05-A,Standand Specification for Transferring Clinical Observations Between Independent Computer Systems,Software/Informatics,09/09/2008,CLSI," "13-20
LIS06-A,Standard Practice for Reporting Reliability of Clinical Laboratory Information Systems,Software/Informatics,09/09/2008,CLSI," "13-21
LIS07-A,Standard Specification for Use of Bar Codes on Specimen Tubes in the Clinical Laboratory,Software/Informatics,09/09/2008,CLSI," "13-22
LIS08-A,Standard Guide for Functional Requirements of Clinical Laboratory Information Management Systems,Software/Informatics,09/09/2008,CLSI," "13-23
LIS09-A,Standard Guide for Coordination of Clinical Laboratory Services within the Electronic Health Record Environment and Networked Architectures,Software/Informatics,09/09/2008,CLSI," "13-24
14698-1:2003,Cleanrooms and Associated Controlled Environments - Biocontamination Control - Part 1: General Principles and Methods,Sterility,09/09/2008,ISO," "14-142
F2132 -01 (Reapproved 2008)e1,Standard Specification for Puncture Resistance of Materials Used in Containers for Discarded Medical Needles and Other Sharps,General Plastic Surgery/General Hospital,03/18/2009,ASTM," "6-215
H15-A3 (Replaces H15-A2),Reference and Selected Procedures for the Quantitative Determination of Hemoglobin in Blood; Approved Standard - Third Edition,InVitro Diagnostics,03/18/2009,CLSI," "7-71
I/LA21-A2,Clinical Evaluation of Immunoassays; Approved Guideline - Second Edition,InVitro Diagnostics,03/18/2009,CLSI," "7-170
GP28-A (Replaces GP28-P),Microwave Device Use in the Histology Laboratory; Approved Guideline,InVitro Diagnostics,03/18/2009,CLSI," "7-164
C44-A (Replaces C44-P),Harmonization of Glycohemoglobin Measurements; Approved Guideline,InVitro Diagnostics,03/18/2009,CLSI," "7-173
I/LA30-A (Replaces I/LA30-P),Immunoassay Interference by Endogenous Antibodies; Approved Guideline.,InVitro Diagnostics,03/18/2009,CLSI," "7-176
M34-A (Replaces M24-P),Western Blot Assay for Antibodies to Borrelia burgdorferi; Approved Guideline. ,InVitro Diagnostics,03/18/2009,CLSI," "7-180
M36-A,Clinical Use and Interpretation of Serologic Tests for Toxoplasma gondii; Approved Guideline. ,InVitro Diagnostics,03/18/2009,CLSI," "7-182
M41-A,Viral Culture; Approved Guideline. ,InVitro Diagnostics,03/18/2009,CLSI," "7-185
M47-A (Replaces M47-P),Principles and Procedures for Blood Cultures; Approved Guideline,InVitro Diagnostics,03/18/2009,CLSI," "7-189
M50-A (Replaces M50-P),Quality Control for Commercial Microbial Identification Systems; Approved Guideline,InVitro Diagnostics,03/18/2009,CLSI," "7-190
MM18-A (Replaces MM18-P),Interpretive Criteria for Indentification of Bacteria and Fungi by DNA Target Sequencing; Approved Guideline,InVitro Diagnostics,03/18/2009,CLSI," "7-192
AUTO8-A,Managing and Validating Laboratory Information Systems; Approved Guideline,Software/Informatics,03/18/2009,CLSI," "13-25
AUTO10-A,Autoverification of Clinical Laboratory Test Results; Approved Guideline,Software/Informatics,03/18/2009,CLSI," "13-26
AUTO9-A,Remote Access to Clinical Laboratory Diagnostic Devices via the Internet; Approved Standard,Software/Informatics,03/18/2009,CLSI," "13-28
H42-A2 (Replaces H42-A),Enumeration of Immunologically Defined Cell Populations by Flow Cytometry; Approved Guideline - Second Edition. ,InVitro Diagnostics,03/18/2009,CLSI," "7-145
H51-A,Assays of vonWillebrand Factor Antigen and Ristocetin Cofactor Activity; Approved Guideline. ,InVitro Diagnostics,09/08/2009,CLSI," "7-101
LIS01-A2,Standard Specification for Low-Level Protocol to Transfer Messages Between Clinical Laboratory Instruments and Computer Systems,Software/Informatics,09/08/2009,CLSI," "13-29
H47-A2,One-Stage Prothrombin Time (PT) Test and Activated Partial Thromboplastin Time (APTT) Test; Approved Guideline - Second Edition. ,InVitro Diagnostics,05/05/2010,CLSI," "7-205
GP16-A3 (Replaces GP16-A2),Urinalysis; Approved Guideline - Third Edition,InVitro Diagnostics,05/05/2010,CLSI," "7-207
POCT05-A (Replaces POCT05-P),Performance Metrics for Continuous Interstitial Glucose Monitoring; Approved Guideline. ,InVitro Diagnostics,05/05/2010,CLSI," "7-209
EP18-A2,Risk Management Techniques to Identify and Control Laboratory Error Sources; Approved Guideline - Second Edition,InVitro Diagnostics,10/04/2010,CLSI," "7-212
62220-1-2 Edition 1.0 2007-06,Medical electrical equipment - Characteristics of digital X-ray imaging devices - Part 1-2: Determination of the detective quantum efficiency - Detectors used in mammography,Radiology,10/04/2010,IEC," "12-213
62220-1-3 Edition 1.0 2008-06,Medical electrical equipment - Characteristics of digital X-ray imaging devices - Part 1-3: Determination of the detective quantum efficiency - Detectors used in dynamic imaging,Radiology,10/04/2010,IEC," "12-214
62494-1 Edition 1.0 (2008-08),Medical electrical equipment - Exposure index of digital X-ray imaging systems - Part 1: Definitions and requirements for general radiography,Radiology,10/04/2010,IEC," "12-215
62083 Edition 2.0 2009-09,Medical electrical equipment - Requirements for the safety of radiotherapy treatment planning systems,Radiology,03/14/2011,IEC," "12-217
61223-3-4 First edition 2000-03,Evaluation and routine testing in medical imaging departments - Part 3-4: Acceptance tests - Imaging performance of dental X-ray,Radiology,03/14/2011,IEC," "12-221
61223-2-6 Second Edition 2006-11,Evaluation and routine testing in medical imaging departments - Part 2-6: Constancy tests - Imaging performance of computed tomography X-ray equipment,Radiology,03/14/2011,IEC," "12-226
I/LA28-A2,Quality Assurance for Design Control and Implementation of Immunohistochemistry Assays; Approved Guidelines-Second Edition.,InVitro Diagnostics,08/02/2011,CLSI," "7-219
15752 Second edition 2010-01-15,Ophthalmic instruments - Endoilluminators - Fundamental requirements and test methods for optical radiation safety,Ophthalmic,08/02/2011,ISO," "10-65
10936-2 Second edition 2010-01-15,Optics and photonics - Operation microscopes - Part 2: Light hazard from  operation microscopes used in ocular surgery,Ophthalmic,08/02/2011,ISO," "10-66
10651-5 First edition 2006-02-01,Lung ventilators for medical use - Particular requirements for basic safety and essential performance - Part 5: Gas-powered emergency resuscitators,Anesthesiology,03/16/2012,ISO," "1-72
10651-4 First edition 2002-03-01,Lung ventilators - Part 4: Particular requirements for operator powered resuscitators,Anesthesiology,03/16/2012,ISO," "1-73
7494-2 Second edition 2015-04-01,Dentistry - Dental units - Part 2: Air water suction and waste water systems,Dental/ENT,04/04/2016,ISO," "4-221
S3.7-1995 (Reaffirmed 2008),American National Standard Method for Coupler Calibration of Earphones,Dental/ENT,03/16/2012,ANSI," "4-164
S3.44-1996 (Reaffirmed 2006),American National Standard Determination of Occupational Noise Exposure and Estimation of Noise-Induced Hearing Impairment,Dental/ENT,03/16/2012,ANSI," "4-173
S3.35-2010 (Reaffirmed 2015),American National Standard Method of Measurement of Performance Characteristics of Hearing Aids under Simulated Real-Ear Working Conditions,Dental/ENT,04/04/2016,ANSI ASA," "4-190
E1112-00 (Reapproved 2011),Standard Specification for Electronic Thermometer for Intermittent Determination of Patient Temperature,General Plastic Surgery/General Hospital,03/16/2012,ASTM," "6-177
F921-10 (Reapproved 2018),Standard Terminology Relating to Hemostatic Forceps,General Plastic Surgery/General Hospital,03/16/2012,ASTM," "6-268
F1078-10 (Reapproved 2018),Standard Terminology for Surgical Scissors-Inserted and Non-Inserted Blades,General Plastic Surgery/General Hospital,03/16/2012,ASTM," "6-269
F1874-98 (Reapproved 2011),Standard Test Method for Bend Testing of Needles Used in Surgical Sutures,General Plastic Surgery/General Hospital,03/16/2012,ASTM," "6-271
F2062-00 (Reapproved 2018),Standard Specification for Square Drive Interconnections on Surgical Instruments,General Plastic Surgery/General Hospital,03/16/2012,ASTM," "6-272
H43-A2,Clinical Flow Cytometry Analysis of Neoplastic Hematolymphoid Cells; Approved Guideline - Second Edition,InVitro Diagnostics,03/16/2012,CLSI," "7-150
H20-A2 (Replaces H20-A),Reference Leukocyte (WBC) Differential Count (Proportional) and Evaluation of Instrumental Methods; Approved Standard - Second Edition,InVitro Diagnostics,03/16/2012,CLSI," "7-165
GP20-A2 (Replaces GP20-A),Fine Needle Aspiration Biopsy (FNAB) Techniques; Approved Guideline - Second Edition,InVitro Diagnostics,03/16/2012,CLSI," "7-166
GP34-A (Replaces GP34-P),Validation and Verfication of Tubes for Venous and Capillary Blood Specimen Collection; Approved Guidance,InVitro Diagnostics,03/16/2012,CLSI," "7-225
M53-A (Replaces M53-P),Criteria for Laboratory Testing and Diagnosis of Human Immunodeficiency Virus Infection; Approved Guideline,InVitro Diagnostics,03/16/2012,CLSI," "7-227
F1992 -99 (Reapproved 2007),Standard Practice for Reprocessing of Reusable Heat-Stable Endoscopic Accessory Instruments (EAI) Used with Flexible Endoscopes,ObGyn/Gastroenterology/Urology,03/16/2012,ASTM," "9-53
10943 Third edition 2011-08-15,Ophthalmic instruments - Indirect ophthalmoscopes,Ophthalmic,03/16/2012,ISO," "10-70
15004-1 First edition 2006-06-01,Ophthalmic instruments - Fundamental requirements and test methods - Part 1: General requirements applicable to all ophthalmic instruments,Ophthalmic,03/16/2012,ISO," "10-72
UD 2-2004 (R2009),Acoustic Output Measurement Standard for Diagnostic Ultrasound Equipment Revision 3,Radiology,03/16/2012,NEMA," "12-105
17526 First edition 2003-06-15,Optics and optical instruments - Lasers and laser-related equipment - Lifetime of lasers,Radiology,03/16/2012,ISO," "12-106
21254-2 First edition 2011-07-15,Lasers and laser-related equipment - Test methods for laser-induced damage threshold - Part 2: Threshold determination,Radiology,03/16/2012,ISO," "12-246
21254-1 First edition 2011-07-15,Lasers and laser-related equipment - Test methods for laser-induced damage threshold - Part 1: Definitions and general principles,Radiology,03/16/2012,ISO," "12-245
12005 Second edition 2003-04-01,Lasers and laser-related equipment - Test methods for laser beam parameters - Polarization,Radiology,03/16/2012,ISO," "12-113
13695:2004,Optics and photonics - Lasers and laser-related equipment - Test methods for the spectral characteristics of lasers,Radiology,03/16/2012,ISO," "12-115
15367-1 First edition 2003-09-15,Lasers and laser-related equipment - Test methods for determination of the shape of a laser beam wavefront - Part 1: Terminology and fundamental aspects,Radiology,03/16/2012,ISO," "12-117
11146-1 First edition 2005-01-15,Lasers and laser-related equipment - Test methods for laser beam widths divergence angles and beam propagation ratios - Part 1: Stigmatic and simple astigmatic beams,Radiology,03/16/2012,ISO," "12-134
11146-2 First edition 2005-02-15,Lasers and laser-related equipment - Test methods for laser beam widths divergence angles and beam propagation ratios - Part 2: General astigmatic beams,Radiology,03/16/2012,ISO," "12-142
15367-2 First edition 2005-03-15,Lasers and laser-related equipment - Test methods for determination of the shape of a laser beam wavefront - Part 2: Shack-Hartman sensors,Radiology,03/16/2012,ISO," "12-143
21254-3 First edition 2011-07-15,Lasers and laser-related equipment - Test methods for laser-induced damage threshold - Part 3: Assurance of laser power (energy) handling capabilities,Radiology,03/16/2012,ISO," "12-248
13697 First edition 2006-05-15,Optics and photonics -- Lasers and laser-related equipment - Test methods for specular reflectance and regular transmittance of optical laser components,Radiology,03/16/2012,ISO," "12-174
24013 First edition 2006-11-15,Optics and photonics -- Lasers and laser-related equipment - Measurement of phase retardation of optical components for polarized laser radiation,Radiology,03/16/2012,ISO," "12-175
122-2007 (R2011),Standard for Photographic Equipment - Ed. 5.0,Radiology,03/16/2012,UL," "12-177
MS 4-2010,Acoustic Noise Measurement Procedure for Diagnosing Magnetic Resonance Imaging Devices,Radiology,03/16/2012,NEMA," "12-232
62274 First Edition 2005-05,Medical electrical equipment - Safety of radiotherapy record and verify systems,Radiology,03/16/2012,IEC," "12-241
60601-2-57 Edition 1.0 2011-01,Medical Electrical Equipment - Part 2-57: Particular requirements for the basic safety and essential performance of non-laser light source equipment intended for therapeutic diagnostic monitoring and cosmetic/aesthetic use,Radiology,03/16/2012,IEC," "12-242
F2451-05 (Reapproved 2010),Standard Guide for in vivo Assessment of Implantable Devices Intended to Repair or Regenerate Articular Cartilage,Tissue Engineering,03/16/2012,ASTM," "15-10
F2312-11 (Reapproved 2020),Standard Terminology Relating to Tissue Engineered Medical Products,Tissue Engineering,03/16/2012,ASTM," "15-31
F2900-11,Standard Guide for Characterization of Hydrogels used in Regenerative Medicine,Tissue Engineering,03/16/2012,ASTM," "15-35
F2383-11,Standard Guide for Assessment of Adventitious Agents in Tissue Engineered Medical Products (TEMPs),Tissue Engineering,03/16/2012,ASTM," "15-36
AUTO3-A2,Laboratory Automation:  Communications with Automated Clinical Laboratory Systems Instruments Devices and Information Systems; Approved Standard,Software/Informatics,03/16/2012,CLSI," "13-30
8536-2 Third edition 2010-03-15,Infusion equipment for medical use - Part 2: Closures for infusion bottles,General Plastic Surgery/General Hospital,08/20/2012,ISO," "6-242
11040-5 Third edition 2012-02-15,Prefilled syringes - Part 5: Plunger stoppers for injectables,General Plastic Surgery/General Hospital,08/20/2012,ISO," "6-278
M15-A (Replaces M15-T),Laboratory Diagnosis of Blood-borne Parasitic Diseases; Approved Guideline,InVitro Diagnostics,08/20/2012,CLSI," "7-76
M06-A2,Protocols for Evaluating Dehydrated Mueller-Hinton Agar; Approved Standard - Second Edition,InVitro Diagnostics,08/20/2012,CLSI," "7-146
M28-A2 (Replaces M28-A),Procedures for the Recovery and Identification of Parasites from the Intestinal Tract; Approved Guideline - Second Edition.,InVitro Diagnostics,08/20/2012,CLSI," "7-148
M35-A2 (Replaces M35-A),Abbreviated Identification of Bacteria and Yeast; Approved Guideline - Second Edition.,InVitro Diagnostics,08/20/2012,CLSI," "7-197
62471 First edition 2006-07,Photobiological safety of lamps and lamp systems,Radiology,08/20/2012,IEC," "12-249
AUTO12-A,Specimen Labels: Content and Location Fonts and Label Orientation; Approved Standard,Software/Informatics,08/20/2012,CLSI," "13-31
60601-2-31 Edition 2.1 2011-09,Medical electrical equipment Part 2-31: Particular requirements for the basic safety and essential performance of external cardiac pacemakers with internal power source,Cardiovascular,08/20/2012,IEC," "3-102
F2914-12,Standard Guide for Identification of Shelf-life Test Attributes for Endovascular Devices,Cardiovascular,08/20/2012,ASTM," "3-104
60601-2-23 Edition 3.0 2011-02,Medical electrical equipment - Part 2-23: Particular requirements for the basic safety and essential performance of transcutaneous partial pressure monitoring equipment,Anesthesiology,08/20/2012,IEC," "1-87
8536-5 Second edition 2004-02-01,Infusion equipment for medical use - Part 5:  Burette infusion sets for single use gravity feed,General Plastic Surgery/General Hospital,01/15/2013,ISO," "6-122
EP17-A2,Evaluation of Detection Capability for Clinical Laboratory Measurement Procedures; Approved Guideline - Second Edition,InVitro Diagnostics,01/15/2013,CLSI," "7-233
EP25-A (Replaces EP25-P),Evaluation of Stability of In Vitro Diagnostic Reagents; Approved Guideline.,InVitro Diagnostics,01/15/2013,CLSI," "7-235
M43-A,Methods for Antimicrobial Susceptibility Testing for Human Mycoplasmas; Approved Guideline.,InVitro Diagnostics,01/15/2013,CLSI," "7-236
MM01-A3 (Replaces MM01-A2),Molecular Methods for Clinical Genetics and Oncology Testing; Approved Guideline - Third Edition,InVitro Diagnostics,01/15/2013,CLSI," "7-237
MM06-A2 (Replaces MM06-A),Quantitative Molecular Methods for Infectious Diseeases; Approved Guideline - Second Edition,InVitro Diagnostics,01/15/2013,CLSI," "7-238
8600-5 First edition 2005-03-15,Optics and photonics - Medical endoscopes and endotherapy devices - Part 5: Determination of optical resolution of rigid endoscopes with optics,ObGyn/Gastroenterology/Urology,01/15/2013,ISO," "9-39
TIR 36:2007,Validation of software for regulated processes,Software/Informatics,01/15/2013,AAMI," "13-33
SW87:2012,Application of quality management system concepts to medical device data systems,Software/Informatics,01/15/2013,ANSI AAMI," "13-35
TIR 45:2012,Guidance on the use of AGILE practices in the development of medical device software,Software/Informatics,01/15/2013,AAMI," "13-36
/TR 80002-1 Edition 1.0 2009-09,Medical device software - Part 1: Guidance on the application of ISO 14971 to medical device software,Software/Informatics,01/15/2013,IEC," "13-34
6.2.02:2006,Official Method 991.47 Testing Disinfectants Against Salmonella choleraesuis Hard Surface Carrier Test Method,Sterility,01/15/2013,AOAC," "14-212
6.2.03:2006,Official Method 991.48 Testing Disinfectants Against Staphylococcus aureus Hard Surface Carrier Test Method,Sterility,01/15/2013,AOAC," "14-213
6.2.05:2006,Official Method 991.49 Testing Disinfectants Against Pseudomonas aeruginosaHard Surface Carrier Test Method,Sterility,01/15/2013,AOAC," "14-215
6.3.02:2006,Official Method 955.17 Fungicidal Activity of Disinfectants Using Trichophyton mentagrophytes,Sterility,01/15/2013,AOAC," "14-217
F2096-11,Standard Test Method for Detecting Gross Leaks in Packaging by Internal Pressurization (Bubble Test),Sterility,01/15/2013,ASTM," "14-359
51261 Second edition 2013-04-15,Practice for calibration of routine dosimetry systems for radiation processing,Sterility,08/06/2013,ASTM ISO," "14-381
51702 Third edition 2013-04-15,Practice for dosimetry in a gamma facility for radiation processing,Sterility,08/06/2013,ASTM ISO," "14-383
14630 Fourth edition 2012-12-01,Non-active surgical implants -- General requirements,Orthopedic,08/06/2013,ISO," "11-254
5838-1 Third edition 2013-03-01,Implants for surgery -- Metallic skeletal pins and wires -- Part 1: General requirements,Orthopedic,08/06/2013,ISO," "11-252
11608-3 Second edition 2012-10-01,Needle based injection systems for medical use - Requirements and test methods - Part 3: Finished containers,General Plastic Surgery/General Hospital,08/06/2013,ISO," "6-294
BF7:2012,Blood transfusion microfilters,General Plastic Surgery/General Hospital,08/06/2013,ANSI AAMI," "6-295
D6978-05 (Reapproved 2019),Standard Practice for Assessment of Resistance of Medical Gloves to Permeation by Chemotherapy Drugs,General Plastic Surgery/General Hospital,08/06/2013,ASTM," "6-147
11608-4 First edtion 2006-03-15,Pen-injectors for medical use -- Part 4: Requirements and test methods for electronic and electromechanical pen-injectors,General Plastic Surgery/General Hospital,08/06/2013,ISO," "6-174
21649 First edition 2006-06-01,Needle-free injectors for medical use -- Requirements and test methods,General Plastic Surgery/General Hospital,08/06/2013,ISO," "6-179
PB70:2012,Liquid barrier performance and classification of protective apparel and drapes intended for use in health care facilities,General Plastic Surgery/General Hospital,08/06/2013,ANSI AAMI," "6-296
8536-7 Third edition 2009-01-15,Infusion equipment for medical use - Part 7: Caps made of aluminum-plastics combinations for infusion bottles,General Plastic Surgery/General Hospital,08/06/2013,ISO," "6-216
8536-3 Third edition 2009-06-01,Infusion equipment for medical use - Part 3:  Aluminum caps for infusion bottles,General Plastic Surgery/General Hospital,08/06/2013,ISO," "6-240
11608-2 Second edition 2012-04-01,Needle-based injection systems for medical use - Requirements and test methods - Part 2: Needles,General Plastic Surgery/General Hospital,08/06/2013,ISO," "6-275
8536-1 Fourth edition 2011-09-01,Infusion equipment for medical use - Part 1:  Infusion glass bottles,General Plastic Surgery/General Hospital,08/06/2013,ISO," "6-276
EP24-A2 (Replaces GP 10-A),Assessment of the Diagnostic Accuracy of Laboratory Tests Using Receiver Operating Characteristic Curves; Approved Guideline - Second Edition,InVitro Diagnostics,08/06/2013,CLSI," "7-234
C56-A,Hemolysis Icterus and Lipemia/Turbidity Indices as Indicators of Interference in Clinical Laboratory Analysis; Approved Guideline,InVitro Diagnostics,08/06/2013,CLSI," "7-242
M51-A (Replaces M51-P),Method for Antifungal Disk Diffusion Susceptibility Testing of Nondermatophyte Filamentous Fungi; Approved Guideline,InVitro Diagnostics,08/06/2013,CLSI," "7-243
F2603-06 (Reapproved 2020),Standard Guide for Interpreting Images of Polymeric Tissue Scaffolds,Tissue Engineering,08/06/2013,ASTM," "15-14
F2259-10 (Reapproved 2012)e1,Standard Test Method for Determining the Chemical Composition and Sequence in Alginate by Proton Nuclear Magnetic Resonance (1H NMR) Spectroscopy,Tissue Engineering,08/06/2013,ASTM," "15-29
F2260-03 (Reapproved 2012)e1,Standard Test Method for Determining Degree of Deacetylation in Chitosan Salts by Proton Nuclear Magnetic Resonance (1H NMR) Spectroscopy,Tissue Engineering,08/06/2013,ASTM," "15-32
F2883-11,Standard Guide for Characterization of Ceramic and Mineral Based Scaffolds used for Tissue-Engineered Medical Products (TEMPS) and as Device for Surgical Implant Applications,Tissue Engineering,08/06/2013,ASTM," "15-38
7176-11 Second edition 2012-12-01,Wheelchairs - Part 11: Test dummies,Physical Medicine,08/06/2013,ISO," "16-190
7176-16 Second edition 2012-12-01,Wheelchairs - Part 16:  Resistance to ignition of postural support devices,Physical Medicine,08/06/2013,ISO," "16-191
7176-3 Third edition 2012-12-15,Wheelchairs - Part 3:  Determination of effectiveness of brakes,Physical Medicine,08/06/2013,ISO," "16-192
F562-13,Standard Specification for Wrought 35Cobalt-35Nickel-20Chromium-10Molybdenum Alloy for Surgical Implant Applications (UNS R30035),Materials,08/06/2013,ASTM," "8-336
F2119-07 (Reapproved 2013),Standard Test Method for Evaluation of MR Image Artifacts from Passive Implants,Materials,08/06/2013,ASTM," "8-153
F1713-08 (Reapproved 2013),Standard Specification for Wrought Titanium-13 Niobium-13 Zirconium Alloy for Surgical Implant Applications (UNS R58130),Materials,08/06/2013,ASTM," "8-158
F2477-07 (Reapproved 2013),Standard Test Methods for in vitro Pulsatile Durability,Cardiovascular,08/06/2013,ASTM," "3-87
60601-2-34 Edition 3.0 2011-05,Medical electrical equipment - Part 2-34:  Particular requirements for the basic safety including essential performance of invasive blood pressure monitoring equipment,Cardiovascular,08/06/2013,IEC," "3-115
60601-2-11 Edition 3.0 2013-01,Medical electrical equipment - Part 2-11: Particular requirements for the basic safety and essential performance of gamma beam therapy equipment,Radiology,08/06/2013,IEC," "12-255
