KNUMBER|APPLICANT|CONTACT|STREET1|STREET2|CITY|STATE|COUNTRY_CODE|ZIP|POSTAL_CODE|DATERECEIVED|DECISIONDATE|DECISION|REVIEWADVISECOMM|PRODUCTCODE|STATEORSUMM|CLASSADVISECOMM|SSPINDICATOR|TYPE|THIRDPARTY|EXPEDITEDREVIEW|DEVICENAME
K200442|InBody Co. Ltd.|Koeun  Jung|InBody Bldg., 625. Eonju-ro, Gangnam-gu||Seoul||KR|06106|06106|02/24/2020|12/04/2020|SESE|CV|DXN|Summary|CV||Abbreviated|N||InBody
K200458|BeSpoke Technologies|Daniel  Hoehn|118 S. Cherry St, Suite E||Winston-Salemn|NC|US|27101|27101|02/25/2020|12/28/2020|SESE|OR|ODP|Summary|OR||Traditional|N||Tailored-C Cervical Interbody Fusion System
K200473|AKTORmed GmbH|Andreas  Mohr|Borsigstraße 13||Barbing||DE|93092|93092|02/26/2020|12/22/2020|SESE|SU|NAY|Summary|GU||Traditional|N||SoloAsisst II, Voice Control
K200491|Aike (Shanghai) Medical Instrument Co., Ltd.|Gu  Hongying|B320, B321, B322, B323, No. 1128, South Huicheng Road,|Jiading Industrial|Shanghai||CN|201801|201801|02/28/2020|01/05/2021|SESE|OR|KTT|Summary|OR||Traditional|N||Bfix Orthopedic External Fixator Systems
K200549|Lucero Medical, LLC|Lee  Strnad|6815 West Streetsboro||Richfield|OH|US|44286|44286|03/03/2020|12/16/2020|SESE|OR|ODP|Summary|OR||Traditional|N||Lucero Medical Cervical Cage System
K200560|InBody Co. Ltd.|Koeun  Jung|InBody Bldg., 625, Eonju-ro, Gangnam-gu||Seoul||KR|06106|06106|03/04/2020|01/06/2021|SESE|CV|DXN|Summary|CV||Abbreviated|N||InBody
K200565|ResMed Corp|Rose  Malonzo|9001 Spectrum Center Blvd||San Diego|CA|US|92123|92123|03/04/2020|01/17/2021|SESE|AN|BZD|Summary|AN||Traditional|N||Galapogos
K200572|Planmeca Oy|Lars  Moring|Asentajankatu 6||Helsinki||FI|00880|00880|03/05/2020|12/02/2020|SESE|RA|LLZ|Summary|RA||Traditional|N||Planmeca Romexis
K200609|Optim, LLC|Jenna  Lipka|64 Technology Park Rd.||Sturbridge|MA|US|01566|01566|03/09/2020|01/13/2021|SESE|EN|EOB|Summary|EN||Traditional|N||ENTity WiFi Video Nasopharyngoscope System
K200610|Implantech Associates Inc.|Craig  Arthur|6025 Nicolle St., Suite B||Ventura|CA|US|93003|93003|03/09/2020|12/23/2020|SESE|SU|FWP|Summary|SU||Traditional|N||Customized Contour Implant
K200618|Visco Vision Inc|Evan  Huang|No. 1, Xingye St., Guishan Dist.,||Taoyuan City||TW|33341|33341|03/09/2020|12/07/2020|SESE|OP|LPL|Summary|OP||Traditional|N||HydroSens A (hioxifilcon A) Spherical Hydrogel Soft Contact Lens
K200631|DeRoyal Industries, Inc.|Sarah  Bennett|200 DeBusk Lane||Powell|TN|US|37849|37849|03/10/2020|12/23/2020|SESE|HO|FLL|Summary|HO||Traditional|N||DeRoyal Temperature Monitoring Probe
K200646|Actuated Medical, Inc.|Michael T. Britton|310 Rolling Ridge Dr.||Bellefonte|PA|US|16823|16823|03/12/2020|12/04/2020|SESE|GU|KNT|Summary|GU||Traditional|N||TubeClear System
K200697|AtriCure Inc.|Melissa  Smallwood|7555 Innovation Way||Mason|OH|US|45040|45040|03/17/2020|12/23/2020|SESE|NE|GXH|Summary|NE||Traditional|N||AtriCure cryoICE cryo-ablation probe (Cryo2), AAtriCure cryoICE cryoSPHERE cryoablation probe (CryoS, CryoS-L)
K200702|Broncus Medical, Inc|Robin  Bush|125 Nicholson Lane||San Jose|CA|US|95134|95134|03/18/2020|01/14/2021|SESE|EN|EOQ|Summary|EN||Traditional|N||EasyPath RF Introducer Sheath
K200716|Shenzhen Pango Electronic Co., Ltd.|Xioyun  Yang|No.25, 1st Industrial Park, Fenghuang Road|Xikeng, Henggang, Longgang District|Shenzhen||CN|518115|518115|03/18/2020|12/04/2020|SESE|CV|DXN|Summary|CV||Traditional|N||Electronic Blood Pressure Monitor
K200717|CLEW Medical Ltd.|Avigdor  Faians|5 Hamelacha St.||Netanya||IL|4206002|4206002|03/18/2020|01/09/2021|SESE|CV|MWI|Summary|CV||Traditional|N||CLEWICU System (ClewICUServer and ClewICUnitor)
K200719|NuVasive, Incorporated|Adan  Alfaro|7475 Lusk Blvd.||San Diego|CA|US|92121|92121|03/19/2020|12/02/2020|SESE|OR|OLO|Summary|NE||Traditional|N||NuVasive Navigation.S Instruments
K200730|pjur group Luxembourg SA|Andrea  Giebel|87 esplanade de la Moselle||Wasserbillig||LU|L-6637|L-6637|03/20/2020|12/17/2020|SESE|OB|NUC|Summary|OB||Traditional|N||pjur WOMAN Nude pjur med SENSITIVE glide
K200731|pjur group Luxembourg SA|Andrea  Giebel|87 esplanade de la Moselle||Wasserbillig||LU|L-6637|L-6637|03/20/2020|01/21/2021|SESE|OB|NUC|Summary|OB||Traditional|N||pjur AQUA Baseline, pjur AQUA Guarana, pjur AQUA ProVitamin B5, pjur BACK DOOR anal Provitamin B5
K200769|Wilson Instruments (SHA) Co., LTD|Juan  Wu|Building 5, No. 258 Shuangbang Rd. Xujing Town Qingpu Dist||Shanghai||CN|201702|201702|03/25/2020|01/06/2021|SESE|GU|ODC|Summary|GU||Traditional|N||Disposable Endoscope Valves Set, Disposable Endoscope Valves Set B
K200781|HeiTaiDa Technology Co., Ltd.|Tom  Chen|4F, BaiShiDa High-Tech Park, XiangDong Industrial Area|DaLingShan Town|DongGuan City||CN|523820|523820|03/11/2020|12/09/2020|SESE|HO|FLL|Summary|HO||Traditional|N||Infrared Body Thermometer
K200789|L&K BIOMED Co., Ltd.|KiHyang  Kim|#201, #202 16-25, Dongbaekjungang-ro 16 beon-gil|Giheung-gu|Yongin-si||KR|17015|17015|03/26/2020|12/04/2020|SESE|OR|NKB|Summary|OR||Special|N||LnK MIS Spinal System, PathLoc-L MIS Spinal System, AccelFix-MIS Spinal System
K200857|Dongguan Prestige Sporting Goods Co., Ltd.|Zhang  Zhao|3rd Ind. District, Qiaotou Area, Houjie Town||Dongguan||CN|523950|523950|04/01/2020|12/17/2020|SESE|PM|ITI|Summary|PM||Traditional|N||Electric wheelchair (Model: S7012)
K200876|Dexcom, Inc.|Maryam  Amini|6310 Sequence Dr.||San Diego|CA|US|92121|92121|04/01/2020|12/04/2020|SESE|CH|QBJ|Summary|CH||Traditional|N||Dexcom G6 Continuous Glucose Monitoring System, Dexcom G6 Glucose Program Continuous Glucose Monitoring System
K200884|B-Secur Ltd.|David  Brown|20 Queens Rd.||Belfast||GB|BT3 9DT|BT3 9DT|04/02/2020|12/07/2020|SESE|CV|DPS|Summary|CV||Traditional|N||B-Secur HeartKey Software Library
K200908|3D Diagnostix Inc.|Ehab  Amin|24 Denby Road||Allston|MA|US|02134|02134|04/06/2020|12/22/2020|SESE|DE|NXC|Summary|DE||Traditional|N||iSMILE
K200918|MAST Biosurgery|Roel  Trip|6749 Top Gun St. Suite 108||San Diego|CA|US|92121|92121|04/06/2020|01/07/2021|SESE|SU|FTL|Summary|SU||Traditional|N||SurgiWrap FROST
K200940|DoseOptics LLC|Venkat  Krishnaswamy|16 Cavendish Ct||Lebanon|NH|US|03766|03766|04/08/2020|12/11/2020|SESE|RA|IYE|Summary|RA||Traditional|N||BeamSite
K200951|Accufix Surgical, Inc.|Michael  Parisi|385 Main Street, Suite 10||West Haven|CT|US|06516|06516|04/09/2020|12/08/2020|SESE|OR|KWD|Summary|OR||Traditional|N||Accu-Joint Hemi Implant
K200963|Argon Medical Devices, Inc.|Ana  Jimenez-Hughes|1445 Flat Creek Road||Athens|TX|US|75751|75751|04/10/2020|01/05/2021|SESE|CV|MMX|Summary|CV||Traditional|N||Halo Single-Loop Microsnare Kit
K200965|KARL STORZ Endoscopy America, Inc.|Winkie  Wong|2151 E Grand Ave||El Segundo|CA|US|90245|90245|04/10/2020|12/29/2020|SESE|RA|JAA|Summary|RA||Traditional|N||XR-MX/1000
K200968|INSUNG MEDICAL CO., LTD.|Tae-il  An|168, Gieopdosi-Ro, Jijeong-Myeon, Wonju-Si||Gangwon-Do||KR|26354|26354|04/10/2020|12/28/2020|SESE|AN|CBI|Summary|AN||Traditional|N||ABC33L, ABC35L, ABC37L, ABC39L, ABC33R, ABC35R, ABC37R, ABC39R
K200970|True Indicating LLC|Thomas  Riha|946 Kane St||Toledo|OH|US|43612|43612|04/13/2020|12/28/2020|SESE|HO|FRC|Summary|HO||Traditional|N||Self-Contained Biological Indicator
K200971|Xuzhou Kernel Medical Equipment Co., Ltd.|Jing  Wang|Kernel Mansion, Economic Development District||Xuzhou||CN|221004|221004|04/13/2020|12/15/2020|SESE|SU|FTC|Summary|SU||Traditional|N||308nm Excimer System
K200996|3M Company|Mary  Fretland|3M Center, Building 275-5W-06||St.Paul|MN|US|55144|55144|04/16/2020|12/11/2020|SESE|HO|FRC|Summary|HO||Traditional|N||3M Attest Rapid Readout Biological Indicator
K200999|Thermidas Americas, Inc.|Karo  Kujanpaa|7912 Sailboat Key Blvd., Suite 508||South Pasadena|FL|US|33707|33707|04/16/2020|01/06/2021|SESE|RA|LHQ|Summary|OB||Traditional|N||Thermidas IR System (ThIR-A615)
K201003|Calla Lily Personal Care, Ltd.|Shaun  Knights|10 Rose &Crown Yard||London||GB|SW1Y 6RE|SW1Y 6RE|04/16/2020|12/07/2020|SESE|OB|HEB|Statement|OB||Traditional|N||Callaly Tampliner
K201014|Thought Technology LTD.|Zena  Butris|5250 Ferrier, Suite 812||Montreal||CA|H4P 1L3|H4P 1L3|04/17/2020|01/13/2021|SESE|GU|KPI|Summary|GU||Traditional|N||MyOnyx System
K201015|Acutus Medical, Inc.|Serena  Sanginthirath|2210 Faraday Ave, Suite 100||Carlsbad|CA|US|92008|92008|04/17/2020|12/01/2020|SESE|CV|DQK|Summary|CV||Traditional|N||AcQMap High Resolution Imaging and Mapping System
K201031|International Medical Industries, Inc.|David  Melly|2981 Gateway Drive||Pompano Beach|FL|US|33069|33069|04/20/2020|12/16/2020|SESE|HO|QEH|Summary|HO||Traditional|N||NRFit® Caps, Male and Female Neuraxial Tip Caps
K201036|Choice Biotech Inc.|Tyler  Kuo|Rm. C, 4F, No.13, Nanke 3rd Rd., Xinshi Dist.||Tainan City||TW|74147|74147|04/20/2020|12/22/2020|SESE|DE|PNN|Summary|DE||Traditional|N||PlaniMax Orthodontic Software
K201039|Resonance Health Analysis Services Pty Ltd|Alison  Laws|141 Burswood Road||Burswood||AU|6100|6100|04/20/2020|12/07/2020|SESE|RA|LNH|Summary|RA||Traditional|N||HepaFat-AI
K201046|Mesi D.O.O.; Mesi, Development of medical devices, Ltd.|Jakob  Susteric|Leskoskova cesta 11A||Ljubljana||SI|1000|1000|04/21/2020|12/11/2020|SESE|CV|JOM|Summary|CV||Traditional|N||Automated ankle brachial pressure index measuring device, MESI mTABLET system
K201066|Ethicon Endo-Surgery, LLC|Nathan  Anderson|475 Calle C||Guaynabo|PR|US|00969|00969|04/22/2020|01/22/2021|SESE|SU|GEI|Summary|SU||Traditional|N||ENSEAL X1 Tissue Sealer, Curved Jaw, 25 cm Shaft Length, ENSEAL X1 Tissue Sealer, Curved Jaw, 37 cm Shaft Length, ENSEAL X1 Tissue Sealer, Curved Jaw, 45 cm Shaft Length
K201072|Ensemble Orthopedics, LLC|Sandie  Roth|107 Redbud Trail, Suite 11||Austin|TX|US|78746|78746|04/22/2020|12/02/2020|SESE|OR|KYI|Summary|OR||Traditional|N||Ensemble CMC, Size 141, Ensemble CMC, Size 151, Ensemble CMC, Size 161
K201075|Becton, Dickinson and Company|Kimberly  Geisler|9450 South State Street||Sandy|UT|US|84070|84070|04/22/2020|12/18/2020|SESE|HO|FOZ|Summary|HO||Traditional|N||BD Insyte Autoguard Shielded IV Catheter, BD Insyte Autoguard BC Shielded IV Catheter, BD Insyte Autoguard BC Pro Shielded IV Catheter
K201077|Strados Labs|Nicholas  Delmonico|1315 Walnut Street, Suite 1101||Philadelphia|PA|US|19107|19107|04/22/2020|12/20/2020|SESE|AN|DQD|Summary|CV||Traditional|N||Strados Remote Electronic Stethoscope Platform (RESP)
K201081|Philips Medical System Nederland B.V.|Gert  De Vries|Veenpluis 4-6||Best||NL|5684 PC|5684 PC|04/22/2020|12/17/2020|SESE|CV|DQK|Summary|CV||Traditional|N||AltaTrack equipment, AltaTrack Guidewire, AltaTrack Catheter
K201084|LimaCorporate S.p.A.|Michela  Zanotto|Via Nazionale 52||Villanova di San Daniele del Friuli||IT|33038|33038|04/23/2020|12/14/2020|SESE|OR|MBH|Summary|OR||Traditional|N||Physica system
K201085|Vesalio|Gustavo  Prado|3200 West End Ave, Ste 500||Nashville|TN|US|37203|37203|04/23/2020|01/15/2021|SESE|CV|QEW|Summary|CV||Traditional|N||NeVa PV Thrombectomy Device
K201113|Advanced Medical Systems Group SRL|Francesco  Sgarbi|Via Europa 12||San Pietro Viminario||IT|35020|35020|04/27/2020|12/21/2020|SESE|OR|HRX|Summary|OR||Traditional|N||Resascope RS-01/B
K201114|Koven Technology, Inc.|Heather  Bell|477 N. Lindbergh Blvd., Ste.220||St. Louis|MO|US|63141|63141|04/27/2020|01/05/2021|SESE|CV|DPW|Summary|CV||Traditional|N||Bidop 7
K201165|Coloplast Corp|Cori  Ragan|1601 West River Road North||Minneapolis|MN|US|55411|55411|05/01/2020|12/17/2020|SESK|GU|LJE|Summary|||Traditional|N||In-Ka Percutaneous Balloon Dilatation Catheters, Amplatz Sheath
K201167|AireHealth Inc.|Rusty  Kelly|3251 Progess Dr., Suite F||Orlando|FL|US|32826|32826|05/01/2020|12/03/2020|SESE|AN|CAF|Summary|AN||Traditional|N||AireHealth NebulizerTM
K201183|CSA Medical, Inc.|Heather V Nigro|91 Hartwell Ave||Lexington|MA|US|02421|02421|05/01/2020|12/07/2020|SESE|SU|GEH|Summary|SU||Traditional|N||Vortex Radial Spray Catheter
K201185|iLine Microsystems S.L.|Miren Itaso Hormaeche|Paseo Mikeletegi, 69||San Sebastian-Donostia||ES|20009|20009|05/01/2020|12/18/2020|SESE|HE|GJS|Summary|HE||Traditional|N||microINR System
K201187|Osteogenics Biomedical, Inc.|Shane  Shuttlesworth|4620 71st St. Bldg. 78-79||Lubbock|TX|US|79424|79424|05/01/2020|01/23/2021|SESE|DE|NPK|Summary|DE||Traditional|N||Cytoplast Titanium-Reinforced PTFE Membranes
K201213|HertART Aps|Per  Svensson|Gustaf Werners gata 2||Vastra Frolunda||SE|SE-421 32|SE-421 32|05/05/2020|12/16/2020|SESE|OB|MQK|Summary|OB||Traditional|N||Pasteur Pipette 3mL, Pasteur Pipette 1mL
K201219|BioCore9 LLC|Stan  Matlak|9 Whippany Road, BLDG A1, Unit 12||Whippany|NJ|US|07981|07981|05/06/2020|01/19/2021|SESE|OR|KXA|Summary|OR||Traditional|N||Biocore9 Femoral Head Resurfacing Component
K201239|Bios s.r.l.|Maurizio  Bianchi|Via Guido Rossa 10/12||Vimodrone||IT|20090|20090|05/07/2020|12/31/2020|SESE|PM|NGX|Summary|PM||Traditional|N||NuEra Tight Family, EMS Model
K201241|Orthocell Ltd|Alison  Carleton|Building 191 Murdoch University, South St, MURDOCH||Perth||AU|6150|6150|05/08/2020|01/11/2021|SESE|DE|NPL|Summary|DE||Traditional|N||Striate+™
K201250|Cardiowise, Inc.|John  Coats|535 W. Research Center Blvd., Suite 135||Fayetteville|AR|US|72701|72701|05/11/2020|12/18/2020|SESE|RA|LLZ|Summary|RA||Traditional|N||SQuEEZ Software
K201253|Smith & Nephew|Konrad  Wolfmeyer|7135 Goodlett Farms Parkway||Cordova|TN|US|38016|38016|05/11/2020|12/08/2020|SESE|OR||Summary|||Traditional|N||Modular Rail System, TAYLOR SPATIAL FRAME External Fixator, JET-X Fixator, ILIZAROV External Fixator, Other External Fixation
K201259|Wright Medical Technology, Inc.|Anna  Hinton|1023 Cherry Road||Memphis|TN|US|38117|38117|05/11/2020|01/08/2021|SESE|OR|HRS|Summary|OR||Traditional|N||ORTHOLOC 2 with 3Di Technology Pilon Fracture Plating System
K201284|Set Medikal Sanayi Ve Ticaret Anonim Sirketi|Mehice  Ozturk|Osmangazi Mahallesi Maresal Fevzi Cakmak Caddesi No.18|Esenyurt|Istanbul||TR|34522|34522|05/13/2020|12/14/2020|SESE|HO|FMF|Summary|HO||Abbreviated|N||Sterile Hypodermic Syringe for Single Use, with/without needle, luer/luer-lock, Sterile Insulin Syringe for Single Use, with needle, Sterile Hypodermic needle for Single use
